trade_date,gross_return,turnover,entry_count,hold_count,transaction_cost,strategy_return,net_value,running_peak,drawdown,signal_gross_budget,vol_scale,drawdown_scale,gross_exposure,trend_asset_count,active_signal_count,score_spread_top1_top2,avg_active_excess_score,realized_vol_lookback
2023-10-27,0.0,0.0,0,0,0.0,0.0,1.0914379279310822,1.0986826930199898,-0.006594046793431896,0.0,1.75,1.0,0.0,1,0,,0.0,0.004570749358099037
2023-10-30,0.0,0.0,0,0,0.0,0.0,1.0914379279310822,1.0986826930199898,-0.006594046793431896,0.0,1.75,1.0,0.0,2,0,,0.0,0.004553121307797435
2023-10-31,0.0,0.0,0,0,0.0,0.0,1.0914379279310822,1.0986826930199898,-0.006594046793431896,0.0,1.75,1.0,0.0,2,0,,0.0,0.004539542033843574
2023-11-01,0.0,1.05,1,1,0.00031499999999999996,-0.00031499999999999996,1.091094124983784,1.0986826930199898,-0.006906969668691865,0.6654633406026904,1.75,1.0,1.05,3,1,,0.0934846489354948,0.004536931237273535
2023-11-02,0.00799347471451851,0.0,0,1,0.0,0.00799347471451851,1.0998157582830015,1.0998157582830015,0.0,0.6085883406026905,1.75,1.0,1.05,2,1,,0.0934846489354948,0.004497330339319519
2023-11-03,-0.002266594711278975,2.1,1,1,0.0006299999999999999,-0.002896594711278975,1.0966300377741776,1.0998157582830015,-0.0028965947112791213,0.6982134790486232,1.75,1.0,1.05,3,1,,0.24463913407056914,0.004160473874179543
2023-11-06,-0.004918444165620929,0.0,0,1,0.0,-0.004918444165620929,1.0912363241630425,1.0998157582830015,-0.007800792137542145,0.6413384790486233,1.75,1.0,1.05,2,1,,0.24463913407056914,0.004275203949572067
2023-11-07,-0.0043238927640977245,1.05,0,0,0.00031499999999999996,-0.004638892764097725,1.086174195874962,1.0998157582830015,-0.01240349786343875,0.0,1.75,1.0,0.0,3,0,,0.0,0.004510319381690657
2023-11-08,0.0,1.05,1,1,0.00031499999999999996,-0.00031499999999999996,1.0858320510032615,1.0998157582830015,-0.012714590761611633,0.7427083333333333,1.75,1.0,1.05,3,1,,0.4757535372411319,0.0047017298648015845
2023-11-09,-0.0025429886170984053,0.0,1,1,0.0,-0.0025429886170984053,1.0830707924574796,1.0998157582830015,-0.015225246319132246,0.7427083333333333,1.75,1.0,1.05,3,1,,0.4757535372411319,0.0047017298648015845
2023-11-10,-0.023197378004369835,0.9571232378582798,1,2,0.00028713697135748393,-0.02348451497572732,1.057635400212239,1.0998157582830015,-0.03835220376966875,0.6999704228395276,1.75,1.0,1.2249482399691733,2,2,,0.16524810541320467,0.004502262372946955
2023-11-13,0.00785099490117951,1.1428767621417202,1,1,0.00034286302864251604,0.0075081318725369935,1.0655762662700958,1.0998157582830015,-0.031132025300636967,0.6289583333333333,1.75,1.0,1.05,1,1,,0.5521063436622775,0.005876447609486002
2023-11-14,-0.001086394205897595,0.0,1,1,0.0,-0.001086394205897595,1.064418630388478,1.0998157582830015,-0.032184597854630126,0.6289583333333333,1.75,1.0,1.05,1,1,,0.5521063436622775,0.006122299956066466
2023-11-15,0.006525116519937855,0.0,1,1,0.0,0.006525116519937855,1.0713640859777553,1.0998157582830015,-0.025869489585841232,0.6289583333333333,1.75,1.0,1.05,1,1,,0.5350834610494284,0.006119416321180178
2023-11-16,-0.00702521873391639,0.0,1,1,0.0,-0.00702521873391639,1.0638375189300993,1.0998157582830015,-0.03271296949688218,0.6858333333333333,1.75,1.0,1.05,2,1,,0.5350834610494284,0.006323739690076187
2023-11-17,-0.01414507772020728,0.0,1,1,0.0,-0.01414507772020728,1.0487894545431606,1.0998157582830015,-0.04639531972109723,0.6289583333333333,1.75,1.0,1.05,1,1,,0.5356503487195601,0.006464170087054313
2023-11-20,0.017647058823529484,0.0,1,1,0.0,0.017647058823529484,1.0672975037409813,1.0998157582830015,-0.029567001833822326,0.6289583333333333,1.75,1.0,1.05,1,1,,0.5356503487195601,0.007064973156223552
2023-11-21,0.011389462809917325,0.14088228796888758,1,1,4.226468639066627e-05,0.011347198123526659,1.0794083399726757,1.0998157582830015,-0.018555306338022715,0.641857113242747,1.5151961867185209,1.0,0.9091177120311125,2,1,,0.2470328303511402,0.00831497325389899
2023-11-22,0.013936398242684339,0.046941816942705494,1,1,1.4082545082811647e-05,0.013922315697601528,1.0944362036483994,1.0998157582830015,-0.004891323473124709,0.6289583333333333,1.436959825147345,1.0,0.862175895088407,1,1,,0.5719786107007765,0.0087676882446469
2023-11-23,-0.014752883962257504,0.053231051780546323,0,1,1.5969315534163897e-05,-0.014768853277791668,1.078272635934813,1.0998157582830015,-0.019587937512207554,0.6289583333333333,1.3482414055131011,1.0,0.8089448433078607,1,1,,0.5719786107007765,0.009344629022262895
2023-11-24,0.00828412537949668,0.059468565434769305,1,1,1.784056963043079e-05,0.00826628480986625,1.0871859446461354,1.0998157582830015,-0.011483572172654943,0.5904177210625163,1.2694000385427677,1.0,0.7494762778730913,1,1,,0.2721202510577676,0.00992501605832413
2023-11-27,-0.004558396013419629,0.00249311164811139,1,1,7.47933494433417e-07,-0.004559143946914063,1.0822293074274318,1.0998157582830015,-0.015990360861009134,0.6289583333333333,1.2449719437083,1.0,0.74698316622498,1,1,,0.46138302072498094,0.010119758787051167
2023-11-28,-0.022474251304066082,0.003509261608448,1,1,1.0527784825343998e-06,-0.022475304082548615,1.0579058746559544,1.0998157582830015,-0.03810627672081679,0.6289583333333333,1.2391231743608866,1.0,0.743473904616532,1,1,,0.46138302072498094,0.010167524930257592
2023-11-29,0.0035180153215292787,0.07466718358433166,1,1,2.2400155075299497e-05,0.003495615166453979,1.0616039064760825,1.0998157582830015,-0.03474386643320526,0.6278713115610816,1.1146778683870004,1.0,0.6688067210322003,1,1,,0.4449829764357611,0.011302651756426646
2023-11-30,0.00979936587592964,0.0031207547145430947,1,1,9.362264143629283e-07,0.009798429649515277,1.072005957669339,1.0998157582830015,-0.025285872114687913,0.6278713115610816,1.1094766105294287,1.0,0.6656859663176572,1,1,,0.4449829764357611,0.011355638908838502
2023-12-01,0.00411976874461671,0.00492653812295285,1,1,1.477961436885855e-06,0.004118290783179824,1.0764207899243226,1.0998157582830015,-0.021271715905582633,0.6289583333333333,1.1012657136578405,1.0,0.6607594281947043,1,1,,0.5723271334854725,0.011440305105956153
2023-12-04,-0.011853705785143321,0.003059344389351515,0,1,9.178033168054544e-07,-0.011854623588460126,1.0636602266369768,1.0998157582830015,-0.032874171308901357,0.6289583333333333,1.0961668063422547,1.0,0.6577000838053528,1,1,,0.5723271334854725,0.011493520597485169
2023-12-05,0.005492276273948613,0.6577000838053528,0,0,0.00019731002514160583,0.005294966248807007,1.0692922716372182,1.0998157582830015,-0.02775327268763239,0.0,1.0745677169614831,1.0,0.0,1,0,,0.0,0.011724543337854467
2023-12-06,0.0,0.0,0,0,0.0,0.0,1.0692922716372182,1.0998157582830015,-0.02775327268763239,0.0,1.0693215940791265,1.0,0.0,1,0,,0.0,0.011782064288923325
2023-12-07,0.0,0.6415507161279368,1,1,0.00019246521483838103,-0.00019246521483838103,1.0690864700704326,1.0998157582830015,-0.02794039636288037,0.6513317580772977,1.0692511935465614,1.0,0.6415507161279368,2,1,,0.2907619603567586,0.011782840031429542
2023-12-08,0.011928329897856173,0.00041517713302363646,1,1,1.2455313990709094e-07,0.011928205344716265,1.0818387530166906,1.0998157582830015,-0.016345469803393242,0.6634275548834727,1.0699431554349341,1.0,0.6419658932609604,2,1,,0.34658871484679743,0.01177521974226079
2023-12-11,-0.004117196158062396,0.0599224635788943,0,1,1.797673907366829e-05,-0.004135172897136064,1.0773651627261445,1.0998157582830015,-0.020413051356807488,0.6065525548834727,1.1698139280664246,1.0,0.7018883568398547,1,1,,0.34658871484679743,0.010769931409347053
2023-12-12,0.01065694363788266,0.002949217992536113,1,1,8.847653977608337e-07,0.0106560588724849,1.0888456293273185,1.0998157582830015,-0.00997451516134773,0.6597541528799742,1.1747292913873182,1.0,0.7048375748323908,2,1,,0.32963455175372713,0.010724867302913199
2023-12-13,-0.015630745599686784,0.01427209276033281,1,1,4.281627828099843e-06,-0.015635027227514885,1.0718214982662253,1.0998157582830015,-0.025453590572733664,0.6597541528799742,1.1509424701200968,1.0,0.690565482072058,2,1,,0.32963455175372713,0.010946520867945378
2023-12-14,-0.004370667608051046,0.03246437677984715,1,1,9.739313033954143e-06,-0.004380406921085,1.0671264839570522,1.0998157582830015,-0.029722500409507413,0.6363388138635822,1.0968351754870183,1.0,0.6581011052922109,2,1,,0.22156375629345604,0.011486516888355716
2023-12-15,-0.004890347916184059,0.06880961775311567,0,1,2.0642885325934698e-05,-0.004910990801509993,1.0618858356102914,1.0998157582830015,-0.03448752428490853,0.5339372780410863,1.1036717453051657,1.0,0.5892914875390952,1,1,,0.011441283266552027,0.011415364958437585
2023-12-18,-0.004411807928100189,0.5892914875390952,0,0,0.00017678744626172855,-0.004588595374361917,1.0570132711769096,1.0998157582830015,-0.038917870364863494,0.0,1.147175908550954,1.0,0.0,2,0,,0.0,0.01098246195118265
2023-12-19,0.0,0.0,0,0,0.0,0.0,1.0570132711769096,1.0998157582830015,-0.038917870364863494,0.0,1.2259145284449868,1.0,0.0,2,0,,0.0,0.01027707517501667
2023-12-20,0.0,0.0,0,0,0.0,0.0,1.0570132711769096,1.0998157582830015,-0.038917870364863494,0.0,1.2727721486493944,1.0,0.0,2,0,,0.0,0.009898720505742923
2023-12-21,0.0,0.8160603029632856,1,1,0.00024481809088898563,-0.00024481809088898563,1.0567544952058157,1.0998157582830015,-0.03915316065702834,0.7995833333333333,1.3601005049388093,1.0,0.8160603029632856,4,1,,0.7435690461847158,0.009263150569553725
2023-12-22,0.001288813033995831,0.048953981277404024,1,1,1.4686194383221206e-05,0.00127412683961261,1.0581009344710386,1.0998157582830015,-0.03792891991026459,0.7995833333333333,1.4416904737344827,1.0,0.8650142842406896,5,1,,0.7435690461847158,0.008738918648979417
2023-12-25,0.006137876068328531,0.025767043144750534,1,1,7.73011294342516e-06,0.006130145955385105,1.0645872476348754,1.0998157582830015,-0.03203128376985953,0.7995833333333333,1.4846355456424003,1.0,0.8907813273854401,5,1,,0.6802949150171718,0.008486133720799973
2023-12-26,-0.0032252577662453177,0.012526990321289122,1,1,3.7580970963867363e-06,-0.0032290158633417046,1.0611496785243513,1.0998157582830015,-0.03515687010978508,0.7995833333333333,1.4637572284402518,1.0,0.878254337064151,5,1,,0.6802949150171718,0.008607175781737569
2023-12-27,0.00017251116422400189,0.17174566293584903,1,1,5.15236988807547e-05,0.00012098746534324718,1.0612780643343056,1.0998157582830015,-0.03504013618504587,0.7924601396801378,1.75,1.0,1.05,4,1,,0.4171237216006365,0.00697593785780921
2023-12-28,-0.0012372348782403752,0.7437682993644901,1,2,0.000223130489809347,-0.0014603653680497221,1.059728210603281,1.0998157582830015,-0.03644933015171914,0.8627288593984922,1.75,1.0,1.5097755039473613,4,2,,0.39144088953150313,0.006932098644180652
2023-12-29,-0.0027213416736672174,1.35623170063551,0,1,0.000406869510190653,-0.0031282111838578704,1.0564131569630222,1.0998157582830015,-0.0394635201333523,0.7427083333333333,1.75,1.0,1.05,3,1,,0.4639931190197637,0.006541286892042224
2024-01-02,0.00353124351255963,1.05,0,0,0.00031499999999999996,0.00321624351255963,1.059810838925687,1.0998157582830015,-0.03637420091140431,0.0,1.75,1.0,0.0,2,0,,0.0,0.006469076746343893
2024-01-03,0.0,1.05,1,1,0.00031499999999999996,-0.00031499999999999996,1.0594769985114256,1.0998157582830015,-0.036677743038117105,0.6579644984517068,1.75,1.0,1.05,3,1,,0.058874608238646875,0.005987920190296864
2024-01-04,-0.00421233301625367,1.7719870529512738,1,2,0.0005315961158853821,-0.004743929132139052,1.054450914713356,1.0998157582830015,-0.04124767555655651,0.7583542849329111,1.75,1.0,1.3271199986325943,3,2,,0.17221208430574397,0.0058485042918166065
2024-01-05,0.004492201387084026,0.32801294704872636,1,1,9.84038841146179e-05,0.004393797502969408,1.0590839585094274,1.0998157582830015,-0.0370351119874508,0.7663302569469921,1.75,1.0,1.05,5,1,,0.2965242628322713,0.005925214957979065
2024-01-08,-0.00010277995301472554,0.0,1,1,0.0,-0.00010277995301472554,1.058975105909933,1.0998157582830015,-0.037134085473395695,0.797564715963031,1.75,1.0,1.05,5,1,,0.4406833044447589,0.006032922167209975
2024-01-09,0.0066813509544785855,0.0,1,1,0.0,0.0066813509544785855,1.0660504902445733,1.0998157582830015,-0.03070084037633858,0.797564715963031,1.75,1.0,1.05,6,1,,0.4406833044447589,0.005287162653752168
2024-01-10,-0.001940661478599165,0.0,1,1,0.0,-0.001940661478599165,1.0639816471239139,1.0998157582830015,-0.03258192191665876,0.797949162390077,1.75,1.0,1.05,5,1,,0.44245767256958657,0.005504175696827239
2024-01-11,-0.0009209628691160101,0.0,0,1,0.0,-0.0009209628691160101,1.0630017595334917,1.0998157582830015,-0.033472878045485155,0.797949162390077,1.75,1.0,1.05,5,1,,0.44245767256958657,0.004839374833231278
2024-01-12,-0.004608856808427585,1.05,0,0,0.00031499999999999996,-0.004923856808427585,1.0577676910824423,1.0998157582830015,-0.03823191919545088,0.0,1.75,1.0,0.0,3,0,,0.0,0.003434969725456371
2024-01-15,0.0,1.05,1,1,0.00031499999999999996,-0.00031499999999999996,1.0574344942597513,1.0998157582830015,-0.03853487614090423,0.7189954982299276,1.75,1.0,1.05,4,1,,0.07805614567658958,0.003470022717549521
2024-01-16,-0.00052111336283538,0.0,0,1,0.0,-0.00052111336283538,1.0568834510144696,1.0998157582830015,-0.03903590846484739,0.6621204982299277,1.75,1.0,1.05,3,1,,0.07805614567658958,0.003306297135929492
